Identyfikator,Imiê,Nazwisko,Specjalizacja
iD3zeWdp5oMl,Bartek,Kuczak,Ginekolog-onkolog
ETo21XaMontC,Micha³,Koniec,Kardiolog
I1IVAyRaOjgd,Gaja,Œwierszcz,Ginekolog-onkolog
JbLstdB8kN4J,Jacek,Potaczek,Medycyna rodzinna
ff51VEqAgKgQ,Liwia,Gruza,Patolog
T0VGu2RBsjGj,Norbert,M³ot,Ginekolog-onkolog
8DkGPSz1tw4E,Arkadiusz,Wiza,Immunolog
OgRl4zbaLWie,Maks,Piwowarek,Okulista
YRxreskYcITv,Hubert,Matla,Radiolog
g6GdmrlObNkZ,Sara,Kubiaczyk,Medycyna ratunkowa
AMn1vxKkmoGT,Micha³,DroŸdziel,Endokrynolog
zGHfTXvjPHCg,Malwina,Jany,Kardiolog
JxC4o023SzlX,Kornelia,Opyrcha³,Chirurg plastyczny
P0bnC7SuTr8Y,Aleksander,Radzio,Ginekolog-onkolog
yfkipzHp7wGb,Sandra,Saczuk,Reumatolog
XIuLL1wreKCi,Rozalia,Fik,Medycyna ratunkowa
PUj4uzdhIKjq,Jeremi,Brzykcy,Urolog
Sat6h6Xyo5Ql,Leonard,Dziadkowiec,Pediatra
3tdmgjyjLhsZ,Jacek,Bilik,Medycyna pracy
9PPYy15tTxF9,Anita,Wo³k,Endokrynolog
FSW4TJeJRgnE,Kazimierz,Szyma³a,Pediatra
bf1v4Ulnw0Li,Karol,Malesza,Ortopeda
JLfkHFAakSL8,Dagmara,Staniewicz,Radiolog
OzwYKdOsuCQi,Marek,Jamroz,Pneumolog
cFzZIenOZTEh,Stefan,Flieger,Patolog
7PTpb447dsId,Damian,Gwizdek,Medycyna rodzinna
TJ5LIIfMGYBh,Adrian,Sroga,Ginekolog-onkolog
RYNWEKuoj7su,Igor,Pyszczek,Dermatolog
tncMR8nOyy2I,Sylwia,Drewniok,Immunolog
MKLRlqWqvGTI,Anita,Gasek,Chirurg naczyniowy
MI4YgkUsI1tL,Przemys³aw,Proch,Medycyna pracy
VMHktlvoZoZY,Przemys³aw,Bartocha,Ortopeda
cJwhjT1uA41A,Kalina,Parzonka,Radiolog
OJ4kg72vHFqw,Ida,Fio³ka,Chirurg
ipzfa3O4ehyD,Ernest,Kasper,Nefrolog
CNNoqtbCwPV7,Kalina,Gajownik,Urolog
tqpNEgSrmOnC,Aurelia,Szygu³a,Ginekolog
kSmnnUWX1HTu,Cezary,Kranc,Medycyna rodzinna
xF16WLF8c3jF,Gaja,£yp,Medycyna rodzinna
pJ1mG4NFCDa3,Kalina,Wykrêt,Medycyna ratunkowa
z8whCYnuEi0D,Krystian,Ciapa,Urolog
0ZV5gBxQxxX9,Monika,Szyja,Ginekolog-onkolog
XczAkHANNoHq,Iwo,Czopik,Medycyna sportowa
oT7r8qdWXEhD,Przemys³aw,Solnica,Neurolog
9HeJQBvA1JSZ,Stanis³aw,Pezda,Kardiolog
ZWtArgYqnMMw,Tobiasz,Jarmu³a,Ortopeda
HMv8OKSQpeCl,Hubert,Wenda,Pediatra
ZufOPLK8vzzt,Aurelia,Kalarus,Kardiolog
ZEghqNWKgzQa,Mi³osz,Kopiczko,Nefrolog
A2CEMCtGJEsJ,Nela,Szóstak,Okulista
CHZ3s585xP4e,Adrian,Dziuda,Medycyna ratunkowa
eVxs7HyO5j8B,Liwia,Nieæko,Nefrolog
zYqlTkObEOUc,Kacper,Delikat,Medycyna sportowa
Lu7PoHI2K0Xz,Karol,Rychcik,Medycyna sportowa
cD6Tj3mVbwiQ,Kornelia,Zadworny,Endokrynolog
GTzDHR4eSkca,Lidia,Frost,Endokrynolog
fClumKlXLwts,B³a¿ej,Go³as,Medycyna ratunkowa
pXpDqjUoqqb0,Tomasz,Pancerz,Medycyna sportowa
787d4TFSz2Dm,Jakub,Czenczek,Onkolog
ZmyN5Cp3rQ4v,Olga,Ma³yszek,Ginekolog
d6OvQpYSnXbR,Adrianna,Nytko,Immunolog
XxgRIZSFskpC,Ró¿a,Szkup,Reumatolog
6UlyXlCArZze,Przemys³aw,Ga³ach,Chirurg
BOfWX5LqjYSl,Urszula,Swatek,Medycyna rodzinna
4fW7e7Myd509,Kamila,Stoch,Chirurg
ZjX6jlkpVf2C,Emil,Lica,Ginekolog
XdndrklXVEoP,Aleksander,Klebba,Laryngolog
HWaoJQxXtRJm,Ewa,Kunc,Ginekolog
t30ZUIIRMzYp,Aleks,Trybuœ,Neurolog
he7ywajlrher,Konrad,Solarek,Chirurg naczyniowy
KEujcCFkvD7m,Aniela,Witkowicz,Ginekolog
mOFebD1S1zJ5,Adrianna,Jeka,Chirurg naczyniowy
lsWaIXAp7rfC,Mi³osz,Goral,Ginekolog
ip0iFYjpSoQd,Aleksander,Opyrcha³,Radiolog
vpue4QxkQbw6,Mateusz,Kabala,Medycyna ratunkowa
kunrfpgWVWXG,Stefan,Minkina,Ortopeda
Y9fJoeRrTP6y,Igor,Pikor,Pediatra
O3IoqnqXV5Qj,Gaja,Gajdzik,Kardiolog
zFXEMraJ5UA1,Wojciech,Bogaczyk,Endokrynolog
WpJhc8Y3G2HJ,Ewelina,Kus,Chirurg naczyniowy
Y4hl3UGzjVqG,Antoni,Lepak,Kardiolog
KjP4xoQXHCve,Adrianna,Graban,Kardiolog
vGAGkBDS6uHU,Antoni,Wujec,Urolog
V9X2U9bjHQCc,Filip,Sasak,Nefrolog
beWgetM68eoC,El¿bieta,Protasiuk,Patolog
CHmeh9iYb0NB,Przemys³aw,Maszczyk,Medycyna pracy
JTuZA6yOwuYi,Julianna,Grzejszczak,Radiolog
Ujl29jLvjvtV,Jakub,Grubba,Ortopeda dzieciêcy
qnF0JtX0pieb,Nikodem,Preœ,Medycyna sportowa
Jo3lnCbSznTH,Sebastian,Ciesielka,Medycyna pracy
4vwVVLEv66VJ,Daniel,Glazik,Ginekolog
m0RS4B5AJZDe,Urszula,Kut,Ginekolog
u3m6FBmVU8wc,Natan,Langa,Dermatolog
AIXMYiRN9IXZ,Stanis³aw,Niedoœpia³,Urolog
GjD6m3m0PY4V,Tadeusz,Wo³och,Chirurg plastyczny
WTstcvBkVQ5M,Bianka,Dziewior,Neurolog
RTY6EuWRGs7G,Dominik,Wywia³,Reumatolog
TrlF7mcRyTwR,Alex,Bia³ach,Urolog
5J5gWEK0XKDY,Mi³osz,Bazyd³o,Chirurg
me9QSxzp44p0,Kacper,Nyk,Neurolog
FVF1Iy5q2kkV,Janina,Gierasimiuk,Nefrolog
m3KeLPY82smb,Justyna,Brózda,Chirurg plastyczny
5MpGG0aIJFf6,Marek,Duniec,Chirurg naczyniowy
0lvyeGmECoE9,Olgierd,Suszka,Medycyna rodzinna
1cYSjc5dmW9c,Antoni,Tereszkiewicz,Kardiolog
CGYuVpxfPIGe,Stefan,Turlej,Chirurg
xVq3hvaokrEm,Arkadiusz,Rygu³a,Reumatolog
DTylu6XhIgou,Kamil,Pyszczek,Ginekolog
3cMEVVKUWj91,Przemys³aw,Dzier¿ak,Psychiatra
xwcr7sFUXI0C,Marcelina,£uszczyk,Medycyna rodzinna
bp1plvX61OpL,Ignacy,Szmalec,Laryngolog
GUGxEjox4VwP,Franciszek,Ziarnik,Pediatra
tQrHSFrjtGhp,Monika,Pietrus,Ortopeda
MbycmtyXIWDw,Karol,Waniek,Medycyna pracy
JgwYiiGwxvgA,Daniel,Wac,Medycyna ratunkowa
237IffzSVXe3,Norbert,Czura,Dermatolog
AKVRqVaXQQaT,Igor,Budniak,Ginekolog-onkolog
r4uCpcs2tf1C,Patryk,Getka,Patolog
ypqF0LAVqEvK,Sonia,Helman,Radiolog
1YIMM1pF7Vub,Rafa³,Hamrol,Endokrynolog
Gt8UqM2pOAxN,Jacek,Opio³a,Radiolog
2gwsL9MeAiGx,Pawe³,Majdan,Okulista
s3rquilkUeRL,Dorota,Ostrêga,Chirurg naczyniowy
pnclolsAmLWN,Franciszek,Krekora,Patolog
mCoWOoAJulda,Roksana,Baster,Medycyna ratunkowa
SXyNEMOfd8GQ,Sonia,Hajduga,Ginekolog
2766jFUhveg4,Olgierd,Tatarek,Radiolog
s5QoWq8WwZc8,Dorota,Muniak,Ortopeda
3M0Zed7QHoRL,Apolonia,Kwasek,Laryngolog
bjw4WSZTeYdN,Nela,Moroñ,Medycyna rodzinna
VCv1gyVzdCGq,Iwo,Stosik,Psychiatra
xfQ1r55cN6tJ,Sandra,Kryszkiewicz,Medycyna sportowa
YvqGghJRuXej,Karina,Sadlak,Ginekolog
DVTkdqoM6Kli,Maciej,Szczepaniec,Pediatra
g2cHSuyWVWnj,Leonard,Szajna,Medycyna rodzinna
uPw1APtxMwgM,Rafa³,Koterba,Pediatra
hc9TPEYmTxis,Witold,Andrys,Patolog
KauaGWY5GwLF,Kamil,Kontny,Medycyna ratunkowa
p24g5zjl0TLo,Aleksander,Konrad,Chirurg
T5s2GJEXvg0U,Jan,Kurpisz,Medycyna ratunkowa
Eiurn8JUVw4W,Alex,Zamora,Reumatolog
gR925uwH8XwU,Bartek,Madajczyk,Pneumolog
EOiNCzuofhOC,Nikodem,Kleban,Immunolog
Mz0zvsTAUAWx,Tymoteusz,Portka,Radiolog
WJKB2fwnDlrP,Grzegorz,Dietrich,Patolog
YhTcWDnJgyfi,Antoni,Wejman,Chirurg plastyczny
xM0a7bHlVTtT,Maksymilian,Ziarek,Onkolog
yEnYxWHluXW8,Sonia,Judek,Patolog
6WACizxfnPF6,Mi³osz,Wo³k,Chirurg plastyczny
U8cPFUr3Xv6c,Marcel,Pieczarka,Endokrynolog
1avyBjXC42kw,Ernest,Pikor,Ginekolog
36X4eQrAkNsV,Filip,Reæko,Ortopeda
0yEJ2td4EDc2,Dawid,Miga³a,Psychiatra
Zmhk6CMfx1Pa,Maciej,Kuchciak,Psychiatra
4blZCkR9bYjP,Aleks,Jakimiak,Kardiolog
oludkMtLx0rT,Olgierd,Tymczyszyn,Okulista
ODTTgh6TQDgF,Olgierd,Smela,Medycyna pracy
R5H1MRtTMhzj,Maksymilian,RaŸny,Medycyna ratunkowa
mtWr6YU9sr7I,Marcel,Kidoñ,Chirurg
aRf9TkA3pbu5,Ernest,Bródka,Dermatolog
4iAO5io6NFK6,Grzegorz,Graboñ,Kardiolog
Bay9ZPqBAL9O,Grzegorz,Kapciak,Chirurg
Fo7E4Mfbjjwg,Konstanty,Wojs³aw,Ortopeda
6vQavkYtmMrR,Tymoteusz,Konsek,Medycyna ratunkowa
X98xvgFI2DVZ,Nela,Solarek,Medycyna sportowa
TDa8xq02n9kG,Adrian,Mazanek,Kardiolog
LsGlJwlWNHVm,Ida,Puch,Onkolog
7q6MuGJUUCVz,Jakub,Bubak,Chirurg
nYDtDaA2rN1P,Maciej,G¹sienica,Pediatra
8gv5iDleH3EH,Julian,Herda,Medycyna pracy
HXjxCMQ6TEMX,Szymon,Wawrzkiewicz,Radiolog
7CdNZwg7dBQZ,Aleksander,Brodawka,Ginekolog-onkolog
XuRzkpzHhTm4,Wiktor,Kopa³a,Medycyna pracy
FEzTLH0UPobi,Gabriel,Gral,Ortopeda dzieciêcy
z8Sds62nugR7,Robert,Stawinoga,Onkolog
YxwMJXFDjROR,Sandra,Otremba,Kardiolog
1HsmNUjaZvZA,Adrianna,Leszczyk,Ortopeda
cJsLtgMIpp4m,Apolonia,Pocz¹tek,Chirurg
pn9bBkGO9RR4,Piotr,Worach,Chirurg naczyniowy
Y2hO5fLmYeF8,Maurycy,Kobos,Pediatra
LFiSmOQgwO2s,Rados³aw,Gustaw,Medycyna rodzinna
sidqyvy4FOCj,Kornel,Pasztaleniec,Chirurg naczyniowy
YUHx6HmYIXPP,Witold,Mielcarz,Medycyna rodzinna
PTb8nc8DgK9L,Adrian,Laszkiewicz,Onkolog
bhPaWADsRH0n,Rados³aw,Podeszwa,Chirurg
m6tXB04BpQXG,Karol,Engel,Okulista
XI8ibwh7RMxz,Karol,Mazan,Neurolog
c3xl37QB5nCk,Marcelina,Joniak,Onkolog
mSwTCbv2RPyk,Sebastian,Tomaszkiewicz,Urolog
JQij3uqC41LZ,Dorota,Roœ,Urolog
DPOaUwTznlkh,Karol,Sacharczuk,Ginekolog-onkolog
