ID_pacjenta,ImiÍ,Nazwisko,Nr_telefonu,MiejscowoúÊ,Ulica_i_numer_domu,Pesel
689414060,Alan,Baú,534 654 143,Jas≥o,al. TÍczowa 68,52552983015
292092345,Lidia,Sopata,043 596 769,TomaszÛw Mazowiecki,aleja Ceglana 299,91827736941
663860981,Cyprian,JaskÛ≥a,306 761 001,Leszno,al. W≥adys≥awa £okietka 29/32,62120280694
151696439,Gustaw,Gronkiewicz,390 781 732,Nowa Ruda,plac Norwida 908,57947253668
914735526,Rozalia,Zyga,943 010 677,Øary,aleja PowstaÒcÛw ålπskich 20/44,74998730387
292645434,Natasza,Engel,913 765 478,Polkowice,ul. £πczna 71/57,32196768065
160363979,Wiktor,Aleksa,249 938 000,Bielawa,aleja Mazurska 65,49248716270
226728133,Marianna,Kijas,472 702 505,Skarøysko-Kamienna,ul. Rynek 07,90092833387
479529948,Witold,WykrÍt,952 602 518,Gliwice,aleja Po≥udniowa 153,82201041479
168488522,Fryderyk,Sztaba,297 647 246,SwarzÍdz,al. Cedrowa 43/69,79352079354
172309404,Ksawery,Klyta,532 558 554,£owicz,plac Miodowa 378,99268337653
941388010,Wojciech,Jaszczur,346 168 629,Gorlice,plac Sportowa 390,56324497525
287387144,Nela,Syka≥a,820 072 562,Turek,ul. Kaliska 69,21061559704
135658024,Julita,SzymkÛw,810 620 251,Nowa Ruda,aleja £anowa 18/38,98559509501
611421733,Igor,Domino,201 924 903,KnurÛw,al. Wczasowa 53/05,76768288395
369455389,Karina,Lemiesz,643 932 639,Grodzisk Mazowiecki,al. Jeziorna 34,35313609791
130639435,Gabriel,Lula,787 807 282,DÍbica,plac Dzia≥kowa 21/78,77062851118
768865335,Ewa,Hajdas,874 081 226,ChorzÛw,al. Korczaka 15,10250178899
353952226,Ewelina,Naroøny,312 678 106,Bia≥a Podlaska,al. Krakowska 60/34,23150496628
344344128,Ewa,Matyjas,766 213 534,Oleúnica,plac Kasprowicza 71,70093624113
557820050,Nataniel,Patrza≥ek,879 521 757,Kraúnik,plac Radosna 493,68760167363
367310034,Kamila,B≥aøejak,129 351 581,RacibÛrz,ul. Ko≥≥πtaja 68,22592944447
405412561,Ewa,Tuzimek,406 248 543,åwinoujúcie,plac Popie≥uszki 28,35005782127
659032608,Tymon,Szulczyk,446 553 230,Miko≥Ûw,pl. Moniuszki 49,94870571113
805831517,Ada,Jarema,925 895 957,Olkusz,pl. Tysiπclecia 62,56415289691
879950824,Wiktor,Iciek,366 639 989,Brodnica,ulica Ptasia 27,24291282801
836282112,Stanis≥aw,Wyskiel,535 891 230,Bi≥goraj,pl. Sosnowa 16/83,52102768589
668286392,Olgierd,Langa,393 605 922,K≥odzko,pl. Zboøowa 94/68,95278312546
791925145,Ewa,SzymaÒczyk,078 674 743,Tarnobrzeg,ul. KrÛlewska 278,43544557826
214894517,Marek,Hanke,528 819 963,Koúcierzyna,aleja Myúliwska 58,79178861562
807173445,Jeremi,Solich,334 947 433,ØyrardÛw,pl. Cedrowa 881,20856812129
225223816,Robert,Pastu≥a,405 309 038,Zabrze,pl. Cicha 62,22139770384
454640219,Tomasz,Szela,319 753 692,Zabrze,ulica Turkusowa 903,23524637327
311158109,Hubert,Jaúkowiec,731 638 932,MiÒsk Mazowiecki,plac PiÍkna 253,29110677909
693047372,Stanis≥aw,Pagacz,535 839 537,PiastÛw,plac WyszyÒskiego 05,96842121045
932113465,Piotr,Danilczuk,566 414 348,ChrzanÛw,aleja Piekarska 08,54899540807
343500637,Ignacy,Kucharz,349 623 656,Olsztyn,pl. Mi≥a 10,24416457030
902690020,Rafa≥,Wiertel,322 773 508,ZambrÛw,pl. Jaúminowa 344,86227820622
594169828,Nela,Kranc,905 237 175,Ko≥obrzeg,al. Kochanowskiego 745,87450276758
435087664,RÛøa,Tylek,817 352 674,KÍdzierzyn-Koüle,al. Z≥ota 11/02,22439622366
926208659,Oskar,Wyrobek,489 397 479,Lublin,plac Wojska Polskiego 027,50661864246
412109317,Natasza,Mueller,284 078 487,Malbork,plac Wybickiego 74,27462642739
250449558,Damian,Miecznik,823 365 144,Ko≥obrzeg,pl. G≥ogowa 70,68025293116
603392203,Filip,Gogacz,061 158 678,Dπbrowa GÛrnicza,ulica Handlowa 331,14416054958
794015280,Rafa≥,Kud≥acik,696 613 344,Bochnia,ulica Gajowa 20/58,19371653134
138448286,Lidia,Kafel,118 777 041,Szczytno,aleja Wilcza 05/70,28479792002
314908389,Kazimierz,Rysz,705 390 226,Tarnowskie GÛry,plac Radosna 08/88,18289452980
761667066,Tymon,Liss,112 214 535,Malbork,pl. £πczna 338,97545947408
184563588,Rozalia,Worach,821 873 891,DzierøoniÛw,plac Mazowiecka 30/22,21683583378
317836830,Kornelia,Kie≥bowicz,066 305 937,Malbork,aleja Sowia 35,71297070811
872200141,Dawid,BzdÍga,113 936 664,Radomsko,ul. Promienna 830,83605002804
419771629,£ukasz,Mamcarz,236 744 760,Mys≥owice,pl. Weso≥a 94/84,37291168420
183536955,Filip,Raczkiewicz,522 961 758,Inowroc≥aw,ul. Nowowiejska 47/52,72559672904
604093851,Witold,Ziniewicz,426 463 922,Boles≥awiec,ul. Storczykowa 539,60714593547
439533837,Jacek,Gapys,143 517 083,ZamoúÊ,pl. Tulipanowa 91,81727972653
127884909,Maksymilian,Romejko,667 645 977,Radomsko,aleja BorÛwkowa 850,10726139367
679451404,Monika,C≥apa,268 260 687,Bytom,ul. Øabia 42,45486199237
801912998,Jerzy,Dybiec,155 517 866,Grudziπdz,ulica SpÛ≥dzielcza 06,93289699306
650544519,Rozalia,Siwczak,517 718 372,Kutno,ul. CzÍstochowska 09/20,88075235170
504296427,Emil,Kazior,828 237 538,Szczecinek,pl. Turystyczna 238,95476419790
170454296,Robert,Paczos,616 940 528,Zabrze,plac Kruczkowskiego 874,75145511433
913673156,Ryszard,£abno,416 056 788,Kielce,pl. Øwirki i Wigury 572,89462499810
416206697,Witold,Be≥z,254 471 953,Kalisz,ul. Mickiewicza 48/37,84504658759
110634033,Sylwia,Niewiara,218 110 583,Koúcierzyna,ul. Piastowska 841,35408529253
981222582,Anita,Kamieniarz,981 850 167,ØyrardÛw,plac Wilcza 206,75545389444
379369987,Norbert,Ka≥ek,295 108 630,åwidnik,pl. W≥adys≥awa Jagie≥≥y 271,90440181060
399296864,Kazimierz,Ligenza,716 383 741,Gdynia,ulica Irysowa 40/57,56885770451
292145724,JÍdrzej,Rogacz,083 692 534,E≥k,plac Klonowa 561,42842017103
896316647,Dagmara,Suchta,951 075 730,Sanok,ulica JaskÛ≥cza 668,76059349137
645839253,Adam,Gabryelczyk,760 663 645,£Ûdü,plac Dworska 66,31347867451
451077095,Franciszek,Jargi≥o,754 738 849,KnurÛw,ul. årednia 01/86,21119457498
494121773,Melania,Poniedzia≥ek,947 979 545,ChorzÛw,aleja Per≥owa 67,53977334731
728964490,Marika,Jeøyk,809 695 036,Konin,al. Konopnickiej 49/14,38907762002
823666348,Antoni,Kulus,487 329 662,ToruÒ,al. Wiπzowa 67,79397507793
